INFO 2024-02-19 22:31:50,457 autoreload 16868 9704 E:\Python\Projects\harmful_recipes\harmful_recipes\recipes\models.py changed, reloading.
INFO 2024-02-19 22:31:51,446 autoreload 16424 8864 Watching for file changes with StatReloader
INFO 2024-02-19 22:38:59,273 autoreload 16424 8864 E:\Python\Projects\harmful_recipes\harmful_recipes\recipes\models.py changed, reloading.
INFO 2024-02-19 22:38:59,876 autoreload 16072 1248 Watching for file changes with StatReloader
WARNING 2024-02-19 22:39:01,100 log 16072 9528 Not Found: /
WARNING 2024-02-19 22:39:01,100 basehttp 16072 9528 "GET / HTTP/1.1" 404 2176
INFO 2024-02-19 22:39:04,445 basehttp 16072 9528 "GET /recipes/index/ HTTP/1.1" 200 22797
WARNING 2024-02-19 22:39:04,612 log 16072 9528 Not Found: /recipes/index/static '/recipes/css/styles.css'
WARNING 2024-02-19 22:39:04,614 log 16072 6208 Not Found: /recipes/index/images/blog-1.jpg
WARNING 2024-02-19 22:39:04,614 basehttp 16072 9528 "GET /recipes/index/static%20'/recipes/css/styles.css' HTTP/1.1" 404 2431
WARNING 2024-02-19 22:39:04,615 log 16072 21188 Not Found: /recipes/index/images/blog-2.jpg
WARNING 2024-02-19 22:39:04,616 basehttp 16072 6208 "GET /recipes/index/images/blog-1.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:04,616 basehttp 16072 21188 "GET /recipes/index/images/blog-2.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:04,633 log 16072 9528 Not Found: /recipes/index/images/blog-3.jpg
WARNING 2024-02-19 22:39:04,634 log 16072 21188 Not Found: /recipes/index/js/jquery.min.js
WARNING 2024-02-19 22:39:04,635 log 16072 6208 Not Found: /recipes/index/images/author.jpg
WARNING 2024-02-19 22:39:04,636 basehttp 16072 9528 "GET /recipes/index/images/blog-3.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:04,636 basehttp 16072 21188 "GET /recipes/index/js/jquery.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:04,637 basehttp 16072 6208 "GET /recipes/index/images/author.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:04,652 log 16072 21188 Not Found: /recipes/index/js/jquery-migrate-3.0.1.min.js
WARNING 2024-02-19 22:39:04,654 log 16072 6208 Not Found: /recipes/index/js/popper.min.js
WARNING 2024-02-19 22:39:04,655 log 16072 9528 Not Found: /recipes/index/js/bootstrap.min.js
WARNING 2024-02-19 22:39:04,655 basehttp 16072 21188 "GET /recipes/index/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 2393
WARNING 2024-02-19 22:39:04,656 basehttp 16072 6208 "GET /recipes/index/js/popper.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:04,659 basehttp 16072 9528 "GET /recipes/index/js/bootstrap.min.js HTTP/1.1" 404 2360
WARNING 2024-02-19 22:39:04,673 log 16072 21188 Not Found: /recipes/index/js/jquery.easing.1.3.js
WARNING 2024-02-19 22:39:04,674 log 16072 6208 Not Found: /recipes/index/js/jquery.waypoints.min.js
WARNING 2024-02-19 22:39:04,676 log 16072 9528 Not Found: /recipes/index/js/jquery.stellar.min.js
WARNING 2024-02-19 22:39:04,677 basehttp 16072 21188 "GET /recipes/index/js/jquery.easing.1.3.js HTTP/1.1" 404 2372
WARNING 2024-02-19 22:39:04,677 basehttp 16072 9528 "GET /recipes/index/js/jquery.stellar.min.js HTTP/1.1" 404 2375
INFO 2024-02-19 22:39:04,678 basehttp 16072 21188 - Broken pipe from ('127.0.0.1', 14599)
WARNING 2024-02-19 22:39:04,678 basehttp 16072 6208 "GET /recipes/index/js/jquery.waypoints.min.js HTTP/1.1" 404 2381
WARNING 2024-02-19 22:39:04,695 log 16072 24868 Not Found: /recipes/index/js/owl.carousel.min.js
WARNING 2024-02-19 22:39:04,695 basehttp 16072 24868 "GET /recipes/index/js/owl.carousel.min.js HTTP/1.1" 404 2369
WARNING 2024-02-19 22:39:04,697 log 16072 9528 Not Found: /recipes/index/js/aos.js
WARNING 2024-02-19 22:39:04,699 log 16072 6208 Not Found: /recipes/index/js/jquery.magnific-popup.min.js
WARNING 2024-02-19 22:39:04,701 basehttp 16072 6208 "GET /recipes/index/js/jquery.magnific-popup.min.js HTTP/1.1" 404 2396
